StoryID,Title,Summary,Hits,AuthorID,CreatedDate,Country_USA,Country_CAN,Country_GBR,Tag_None,Tag_National,Tag_Office,Tag_Industrial,Tag_Retail,Tag_People,Tag_Investment,Tag_Analytics,Tag_Development,Tag_Finance,Tag_Events,Tag_Multifamily,Tag_Hospitality,Tag_Company,Tag_Healthcare,Tag_Legal,Tag_Land,Tag_Lease,Tag_Sale,Tag_MixedUse,Tag_SpecialPurpose,Tag_PublicSector,Tag_CompaniesPeople,Tag_CoStarGreenReport
146316,"Paramount Transportation Leases 136,000-SF Cheverly Facility",Will Occupy Former Safeway Warehouse in September,0,132,2016-03-31 14:32:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
182305,"Newmark Knight Frank Boosts National Appraisal Platform with Deal to Roll Up IRR Affiliate Offices in NYC/NJ, Five Other US Markets","Exclusive: Newmark to Acquire Integra Affiliates in NY/NJ, Philadelphia, Wilmington, Baltimore, DC, Atlanta",32,296,2017-09-05 09:54:00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
182389,Amazon Outgrows Seattle: Opens Search for Second HQ City in North America,"Tech Giant Plans to Invest More Than $5 Billion to Build, Operate Amazon HQ2",71,240,2017-09-07 21:01:00,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
183158,"For Amazon’s Second HQ’s Search, Bigger May Be Better","Biggest US Cities Appear to Have Edge in Amazon Sweepstakes, Midsize Market’s Strong Suit Will Be Affordability",601,240,2017-09-28 09:58:00,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
183882,Last Call for Amazon HQ2: Today is Deadline for Communities to Submit Bids for Landing Co-Headquarters,Hundreds of Communities Expected to Pitch Proposals Vying for $5 Billion Economic Development Prize,1379,240,2017-10-19 12:40:00,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184098,Hundreds of Localities Fortify Their Amazon HQ2 Bids with Hefty Financial Incentives,"While Gov. Chris Christie Defies Other States to Beat New Jersey's Financial Package, Other Regions Hope Amazon will Consider Quality of Life over Dollars and Cents",1623,240,2017-10-26 10:17:00,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
185294,Implications of a Tight Office Market and Amazon’s HQ2,"With Economy Reaching Full Employment and Office-Using Jobs Continuing to Grow Steadily, Companies in White-Collar Industries Increasingly Compete for Job Candidates",27,157,2017-12-04 16:46:00,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186654,Amazon Narrows HQ2 Search to 20 Markets,"E-Commerce Giant Includes Many Major Markets but Also a Few Surprises in Running for $5 Billion, 50,000-job HQ in 2018",5149,296,2018-01-18 10:45:00,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
186667,L.A. Officials ‘Thrilled’ by Amazon HQ2 Short List,"Out of 20, L.A. is Only City on West Coast",275,267,2018-01-18 13:39:00,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186668,Denver Makes Shortlist for Amazon HQ2,E-Commerce Giant Expects to Decide Later This Year on Campus Location,134,233,2018-01-18 14:37:00,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186746,"Passed Over for Amazon HQ2, Could San Diego Lure Apple?","Geography, Housing Among Factors Making Region a Longshot",352,223,2018-01-22 16:14:00,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187007,Q&A: Is Downtown Miami the Best Fit for Amazon?,DDA Chief Alyce Robertson Touts Benefits of the Urban Core,291,284,2018-01-26 11:32:00,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187103,Do Selected Amazon Finalists Reveal Anything About Selection Criteria?,,49,267,2018-01-26 15:59:00,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187764,Marcus & Millichap's Bill Hughes on Succession Plan and Strategies for Bulking Up Firm's Capital Markets Business,"After 22 Years, Veteran Exec Who Helped Launch M&M's Debt and Equity Business Transitioning into Consulting Role",793,296,2018-02-19 09:37:00,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188165,Amazon Courtship Continues - Behind Closed Doors,South Florida Business Leaders Say They’re Sworn to Secrecy,432,284,2018-03-01 11:21:00,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
188418,"Depomed Leases 31,209 SF at Landmark of Lake Forest",California Pharmaceutical Company Signs 66-Month Lease to Commence by August 1,176,91,2018-03-06 16:21:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188459,The Amazon Effect: What Would Happen to Apartment Rents if Your City is Picked for HQ2?,Projected Impact Varies Across 20 Finalists with Market Size and Construction Pipeline Being Major Factors,3221,165,2018-03-08 14:44:00,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
189464,"Select Strategies Realty Acquires 682,000-SF St. Louis Retail Portfolio",Cincinnati-Based Retail Investor Bolsters $150M Portfolio with Five-Property Purchase,229,76,2018-04-04 16:23:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190359,A Look at the Six Newark Sites that Make Up New Jersey's Amazon HQ2 Pitch,"Proposal Includes Mix of Existing, Planned Developments",542,226,2018-04-26 17:01:00,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
190507,Amazon’s HQ2 Search Casts Spotlight on Role of Temporary Housing Specialists,Online Giant Will Have to Move - and House - Scores of Employees in Selected Market,267,165,2018-05-01 17:39:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190666,CityCenter Enters into Agreement to Sell 392-Key Las Vegas Hotel,The Mandarin Oriental Under Contract at $214 Million,231,336,2018-05-07 10:45:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
190835,The Transit Factor in Amazon's HQ2 Selection Reflects Transportation's Growing Economic Development Clout,How Prominently Will Mass Transit Figure Into Amazon's Decision?,1467,165,2018-05-09 23:17:00,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190861,"A Magnet for Jobs and Population Growth, Nashville Making More Relocation Short Lists",Making Amazon's HQ2 Short List is Just the Beginning,266,209,2018-05-09 17:59:00,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
